period,planet_radius,depth,equilibrium_temp,insolation,impact,duration,star_radius,star_mass,star_teff,kepmag,label,source
4.783002698,2.5,1008.7,886.0,145.48,0.003,2.335,0.807,0.891,5170.0,15.119,CONFIRMED,KOI
20.50588921,3.41,2105.5,518.0,17.06,0.26,4.0595,0.761,0.739,4905.0,15.398,CONFIRMED,KOI
3.340218842,2.03,1632.6,656.0,43.73,0.466,1.9104,0.493,0.502,3950.0,15.954,CONFIRMED,KOI
2.507089906,30.26,1339.2,1326.0,730.47,1.255,2.0067,0.939,1.03,5926.0,15.555,FALSE POSITIVE,KOI
18.64932728,3.12,893.6,701.0,57.13,0.08,4.4056,1.053,1.026,5775.0,15.386,CONFIRMED,KOI
4.90144976,1.7,140.7,1262.0,598.74,0.529,4.1654,1.402,1.113,5847.0,12.487,CONFIRMED,KOI
9.75192101,2.76,418.0,870.0,135.66,0.949,4.793,1.053,1.026,5775.0,15.386,CONFIRMED,KOI
38.5576546,4.02,993.0,550.0,21.71,0.911,5.794,1.053,1.026,5775.0,15.386,CONFIRMED,KOI
3.525632539,11.58,22335.0,975.0,213.12,0.12,2.59959,0.793,0.855,5150.0,15.224,CONFIRMED,KOI
34.84398644,7.61,4523.6,511.0,16.1,0.934,2.9315,0.871,0.84,5509.0,15.684,CANDIDATE,KOI
7.748094239,5.52,2472.1,964.0,204.39,0.517,3.5957,1.085,1.181,5973.0,15.67,CONFIRMED,KOI
23.96793669,1.8,1182.3,329.0,2.77,0.416,3.827,0.524,0.536,3747.0,15.414,CONFIRMED,KOI
8.29561738,1.82,824.3,469.0,11.39,0.888,1.3421,0.524,0.536,3747.0,15.414,CONFIRMED,KOI
8.11437482,2.1,1558.0,460.0,10.55,0.573,2.2736,0.517,0.553,3692.0,15.877,CONFIRMED,KOI
38.036729482,27.5,82872.0,500.0,14.81,0.501,4.34617,0.932,1.051,5575.0,15.472,FALSE POSITIVE,KOI
4.64090031,30.09,2450.6,1155.0,421.08,1.28,35.512,0.826,0.786,6463.0,15.27,CANDIDATE,KOI
3.747838198,13.65,616.0,1031.0,266.76,1.121,5.0642,0.826,0.926,5514.0,13.496,FALSE POSITIVE,KOI
14.74914825,2.89,430.2,874.0,137.91,0.173,6.0995,1.402,1.113,5847.0,12.487,CONFIRMED,KOI
21.81295996,3.38,1175.4,639.0,39.33,0.053,4.3791,0.999,0.934,5601.0,15.54,CONFIRMED,KOI
7.91936937,10.34,15148.0,814.0,104.0,0.733,3.3148,0.776,0.852,5690.0,15.805,FALSE POSITIVE,KOI
1.028436523,72.77,8098.0,1947.0,3400.48,1.5734,1.8606,0.99,0.959,6228.0,15.202,CANDIDATE,KOI
15.37562369,11.01,15337.0,600.0,30.54,0.692,3.3169,0.833,0.793,4986.0,16.422,CONFIRMED,KOI
8.10363271,2.11,887.9,687.0,52.82,0.047,3.161,0.732,0.733,4861.0,15.289,CONFIRMED,KOI
4.71510843,1.46,417.5,823.0,108.84,0.258,2.506,0.732,0.733,4861.0,15.289,CONFIRMED,KOI
6.365839713,2.44,780.7,914.0,165.33,0.524,2.9721,0.849,0.939,5776.0,15.09,CONFIRMED,KOI
5.97581754,3.86,962.4,1047.0,284.25,0.941,3.065,0.997,1.072,6108.0,15.546,FALSE POSITIVE,KOI
2.446737317,26.25,1177.9,1261.0,597.19,1.241,4.7211,0.863,0.959,5764.0,15.021,FALSE POSITIVE,KOI
3.04033046,8.99,10859.0,1021.0,257.29,0.736,1.8411,0.791,0.754,5035.0,15.028,CONFIRMED,KOI
15.33528675,5.0,3081.4,610.0,32.67,0.773,3.897,0.817,0.926,5251.0,15.855,CONFIRMED,KOI
7.95825328,1.06,50.0,1074.0,314.15,0.706,4.377,1.402,1.113,5847.0,12.487,CONFIRMED,KOI
31.33046135,6.5,5073.8,481.0,12.61,0.798,5.176,0.817,0.926,5251.0,15.855,CONFIRMED,KOI
3.9043425,12.28,16228.0,1104.0,351.05,0.709,3.831,0.898,0.989,5810.0,15.016,FALSE POSITIVE,KOI
9.286358079,17.61,44791.0,796.0,95.03,0.377,3.49949,0.821,0.82,5670.0,15.365,FALSE POSITIVE,KOI
3.951405455,31.44,2453.9,1133.0,388.71,1.276,2.1862,0.869,0.953,6046.0,15.446,FALSE POSITIVE,KOI
23.65369415,7.89,3341.8,731.0,67.65,0.008,8.2183,1.384,1.083,5739.0,15.084,CONFIRMED,KOI
13.23352214,3.06,504.6,888.0,146.67,0.014,6.7372,1.384,1.083,5739.0,15.084,CONFIRMED,KOI
6.15560285,2.32,285.0,1146.0,406.94,0.235,4.9843,1.384,1.083,5739.0,15.084,CONFIRMED,KOI
2.090811305,1.62,115.9,1642.0,1718.04,0.746,3.388,1.384,1.083,5739.0,15.084,CONFIRMED,KOI
3.180027898,1.53,120.3,1458.0,1066.86,0.196,3.5797,1.402,1.113,5847.0,12.487,CONFIRMED,KOI
50.4467417,2.67,370.3,568.0,24.64,0.379,7.159,1.384,1.083,5739.0,15.084,CONFIRMED,KOI
11.76307164,2.35,1037.3,616.0,33.99,0.048,2.9076,0.756,0.849,4959.0,15.208,CONFIRMED,KOI
56.2279271,2.37,862.7,366.0,4.22,0.7,3.57,0.756,0.849,4959.0,15.208,CONFIRMED,KOI
2.384052875,17.06,1268.1,1010.0,244.87,1.178,3.0918,0.701,0.683,4794.0,15.836,FALSE POSITIVE,KOI
7.953547,2.25,875.4,696.0,55.37,0.3,2.6312,0.779,0.759,4768.0,15.66,CONFIRMED,KOI
4.14451656,1.48,391.8,864.0,132.08,0.004,2.3421,0.779,0.759,4768.0,15.66,CONFIRMED,KOI
4.859386384,38.33,6044.3,1114.0,364.23,1.259,2.2757,0.988,1.05,6072.0,15.311,FALSE POSITIVE,KOI
10.526294577,8.24,9768.0,713.0,61.16,0.644,2.5211,0.793,0.82,5386.0,15.305,CONFIRMED,KOI
4.583520948,5.39,3812.1,1038.0,274.98,0.045,2.7055,0.877,0.973,5815.0,15.287,CONFIRMED,KOI
3.76181843,2.66,510.6,1121.0,372.62,0.926,3.5176,0.949,0.974,5653.0,15.257,CONFIRMED,KOI
8.20396958,3.01,1024.4,742.0,71.5,0.823,2.9667,0.826,0.785,5015.0,15.376,CONFIRMED,KOI
14.49645186,3.01,647.5,613.0,33.48,0.97,4.016,0.826,0.785,5015.0,15.376,CONFIRMED,KOI
6.54626149,2.19,655.9,810.0,101.78,0.644,2.75,0.817,0.926,5251.0,15.855,CONFIRMED,KOI
12.71809866,2.31,1149.4,562.0,23.6,0.427,3.0957,0.686,0.67,4702.0,15.389,CONFIRMED,KOI
36.06588163,2.64,1563.8,397.0,5.88,0.26,4.3246,0.686,0.67,4702.0,15.389,CONFIRMED,KOI
4.190425659,6.21,2877.4,1234.0,547.9,0.458,2.8589,1.135,1.163,6073.0,15.27,CONFIRMED,KOI
3.709870784,4.35,2020.3,1151.0,415.1,0.023,3.0694,0.978,1.013,5727.0,15.581,CONFIRMED,KOI
16.3297527,3.75,1187.5,727.0,66.08,0.791,6.271,0.987,0.989,5878.0,15.447,CONFIRMED,KOI
27.807566216,13.84,25391.0,554.0,22.24,0.782,4.21587,0.785,0.865,5862.0,15.482,CONFIRMED,KOI
80.8723469,7.59,3604.6,452.0,9.88,0.527,11.195,1.238,0.932,5510.0,15.201,CONFIRMED,KOI
3.166465862,26.82,4357.2,954.0,196.31,1.266,2.9381,0.704,0.68,4968.0,15.999,FALSE POSITIVE,KOI
24.99324319,2.29,269.6,712.0,60.88,0.686,5.9409,1.317,0.961,5718.0,12.377,CONFIRMED,KOI
10.35533116,2.47,750.6,777.0,86.22,0.029,3.1775,0.918,0.891,5501.0,15.018,CONFIRMED,KOI
16.08518937,3.68,1442.4,613.0,33.43,0.867,3.984,0.826,0.83,5239.0,15.219,CONFIRMED,KOI
235.9986399,10.59,20715.0,188.0,0.29,0.778,8.2284,0.657,0.666,4245.0,15.172,CANDIDATE,KOI
7.49018305,2.56,1123.6,753.0,76.06,0.02,2.7297,0.787,0.823,5103.0,15.599,CONFIRMED,KOI
36.2761238,3.03,1572.6,445.0,9.29,0.035,4.7865,0.787,0.823,5103.0,15.599,CONFIRMED,KOI
17.46087931,2.32,812.4,568.0,24.6,0.594,2.2641,0.787,0.823,5103.0,15.599,CONFIRMED,KOI
56.0560754,1.94,1626.0,233.0,0.69,0.018,4.685,0.491,0.503,3593.0,15.849,CONFIRMED,KOI
41.408316686,11.38,22839.0,453.0,9.93,0.377,5.0264,0.747,0.786,5522.0,15.196,CONFIRMED,KOI
39.74893077,14.21,15179.0,552.0,21.87,0.881,7.3051,0.964,1.041,6122.0,15.344,CANDIDATE,KOI
5.715425977,2.47,908.1,850.0,123.03,0.348,2.5242,0.826,0.927,5237.0,15.086,CONFIRMED,KOI
49.18394185,8.2,1646.2,669.0,47.4,0.035,11.3364,2.057,1.247,5626.0,12.654,CONFIRMED,KOI
20.0261412,2.28,421.2,559.0,23.14,0.957,1.611,0.826,0.927,5237.0,15.086,CONFIRMED,KOI
13.61014819,19.02,5732.9,733.0,68.29,1.081,2.594,0.903,0.857,5697.0,15.06,CANDIDATE,KOI
10.44331991,2.66,1159.8,667.0,46.94,0.23,2.743,0.802,0.769,4947.0,15.546,FALSE POSITIVE,KOI
2.237489571,1.41,315.8,1160.0,427.17,0.128,1.8119,0.81,0.91,5265.0,15.001,CONFIRMED,KOI
5.851520671,14.62,33004.0,901.0,155.89,0.211,3.11058,0.806,0.804,5532.0,15.33,FALSE POSITIVE,KOI
3.167893418,2.62,781.2,1221.0,526.23,0.026,2.1814,0.94,1.026,5895.0,15.533,CONFIRMED,KOI
4.311780262,3.11,1154.0,1038.0,274.84,0.196,2.7251,0.927,0.956,5527.0,15.604,CONFIRMED,KOI
20.0504494,2.69,840.9,622.0,35.44,0.383,4.556,0.927,0.956,5527.0,15.604,CONFIRMED,KOI
9.76734503,2.67,569.1,791.0,92.46,0.9,1.6585,0.927,0.956,5527.0,15.604,CONFIRMED,KOI
119.0207044,8.98,7430.5,366.0,4.25,0.076,8.1405,1.062,0.904,5453.0,15.085,CANDIDATE,KOI
